Column1,Column4,Column5
UNKNOWN,46.767519,-85.254839
UNKNOWN,46.782764,-88.481961
THOMAS WILSON,46.78355,-92.069489
UNKNOWN,46.789794,-90.850183
UNKNOWN,46.80585,-90.822072
PASADENA,47.233258,-88.666788
UNKNOWN,46.857266,-91.102103
BENJAMIN NOBLE,46.933333,-91.766667
SEVONA,47.007956,-90.90205
ALTADOC,47.399903,-87.700114
STEEL VENDER,47.408239,-87.266789
JAMES PICKANDS,47.433247,-88.283436
WILLIAM C. MORELAND,47.433249,-88.283437
BANGOR,47.466667,-88.15
R.G. COBURN,47.474903,-87.80011
S.R. KIRBY,47.466578,-88.150104
SUNBEAM,47.483233,-87.796777
ALGOMA,47.96655,-88.750078
EMPORER,48.206536,-88.500064
Q.E. PARKS,48.333206,-89.000064
ELY,47.012078,-91.678942
UNKNOWN,46.751389,-92.075
UNKNOWN,46.748914,-92.076667
UNKNOWN,46.733917,-92.154581
PRETORIA,47.088542,-90.390447
UNKNOWN,46.882431,-90.761294
UNKNOWN,46.858264,-90.780183
UNKNOWN,46.781322,-90.86185
ELY,47.011864,-91.678383
UNKNOWN,46.604458,-90.947119
UNKNOWN,46.587619,-90.904214
UNKNOWN,46.598811,-90.877081
UNKNOWN,46.723547,-90.750181
UNKNOWN,45.010889,-83.273889
UNKNOWN,42.806667,-82.481667
UNKNOWN,46.251508,-84.182867
UNKNOWN,45.987036,-83.897242
UNKNOWN,45.988908,-83.897225
UNKNOWN,45.998894,-83.825408
TWO MYRTLES,45.9993,-83.899211
ALICE C,45.999769,-83.898975
PEWABIC,45.100014,-83.216633
TWIN SCREW,45.661622,-84.435058
CHEBOYGAN POINT WREC,45.664511,-84.433086
FALSE HENRY CLAY,45.700733,-84.530011
J.H.OUTHWAITE,45.713761,-84.558372
UGANDA,45.713761,-84.558372
COAL WRECK,45.714039,-84.564956
IRON ORE WRECK,45.715539,-84.563233
BARNUM,45.745233,-84.630628
JENNE V. MERRI,45.861122,-84.566986
BRUNO,45.866686,-83.416653
UNKNOWN,46.446158,-84.268367
UNKNOWN,46.462686,-84.2862
UNKNOWN,46.462917,-84.287297
UNKNOWN,46.475575,-84.302814
UNKNOWN,46.490486,-84.310081
UNKNOWN,46.490631,-84.310875
UNKNOWN,46.491472,-84.3125
SAGAMORE,46.518,-84.632183
UNKNOWN,43.262442,-82.510422
UNKNOWN,43.262386,-82.511033
UNKNOWN,45.015306,-83.303806
MONOHANSETT,45.032792,-83.191631
SCANLON,45.034789,-83.326775
GRECIAN,44.9684,-83.199964
WILLIAM R. LINN,43.083361,-82.416581
SACRAMENTO,44.083347,-82.999947
PHILADELPHIA,44.105008,-82.683267
ALBANY,44.116675,-82.683267
WATER WITCH,44.416681,-83.316633
MARY ALICE B.,43.338358,-82.439919
UNKNOWN,45.233347,-83.329972
UNKNOWN,46.514853,-84.361094
UNKNOWN,46.489239,-84.417939
UNKNOWN,45.054817,-83.431875
UNKNOWN,45.050861,-83.435472
JOHNSON,45.025844,-83.347469
OSCAR T. FLINT,45.026,-83.347528
